公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3,Category,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
公司平均數,"252,751.5","268,725.12","246,414","272,209","295,850.44","299,629","260,711.67","173,847.67","327,743.66","262,599.66","246,116.56","239,128.78","236,920.67","299,617.34","398,496.44","366,963.78","392,590.5","597,064.75","376,705.4","406,457","406,587.7","372,956.3","261,950","280,342.1","280,323.5","282,521.8","387,183.7","166,827.86","224,941.42","210,555.42","195,114.86","231,568.58","259,291.58","290,504.72","252,977","241,295.86","254,961.42","272,593.44","269,496","263,199.16","289,518.88","258,265.38","286,622.75","172,944.62","395,391","324,433.38","237,246.38","305,698.38",NetProfit,"355,251.4","183,047.9","376,175.1","381,886.5","464,945.6","601,296.6"
電腦及週邊設備業,"314,665.54","288,115.38","262,239.01","220,643.31","289,930.72","419,830.97","386,040.17","187,569.35","506,367.04","618,117.67","572,974.1","557,333.26","717,187.44","719,722.35","746,059.77","534,130.03","493,192.19","811,461","471,264.72","345,456.46","513,008.06","692,660.54","507,857.09","570,244.94","733,530.29","772,927.93","663,208.7","337,142.5","294,671.26","140,748.56","299,247.61","258,256.64","313,669.44","408,713.08","398,556.14","334,216.71","271,405.34","419,474.07","362,153.9","297,557.24","280,328.78","377,426.49","351,239.67","244,208.84","269,318.2","332,752.29","248,296.17","359,277.03",NetProfit,"876,634.03","713,043.02","904,883.76","993,259.3","1,132,153.39","1,548,541.31"
6680 鑫創電子,-,2.34,1.21,1.06,0.85,1.06,0.24,0.75,0.79,0.56,0.11,0.31,0.35,0.44,0.68,0.48,0.85,1.42,1.02,0.37,1.04,1.44,0.47,0.34,0.99,0.89,2.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EPS,0.04,-1.19,0.12,0.74,0.08,0
8050 廣積,0.21,0.22,0.13,0.92,0.49,0.11,0.6,0.06,0.44,0.11,0.13,0.31,0.33,0.51,1.54,1.53,2.22,3.4,2.19,1.87,1.69,1.91,-0.25,1.37,1.17,0.62,0.9,0.74,0.55,0.87,0.79,0.92,1.23,0.88,1.15,1.45,0.59,1.4,1.13,1.53,1.81,1.33,0.77,0.64,0.54,1.22,0.31,1.9,EPS,1.12,-0.64,0.86,0.11,1.07,1.62
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3,-,3.85,1.4,0.99,1.78,0.33,2.25,1.97,1.59,1.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EPS,2.55,0.55,2.84,1.11,2.6,3.03
3594 磐儀,-1.08,0.44,0.22,0.25,0.39,0.14,-0.06,-0.46,0.27,0.33,0.02,-0.12,0.13,0,0.29,0.18,0.24,0.64,0.42,0.38,0.55,0.37,0,0.19,0.41,0.12,0.64,0.14,0.77,0.26,0.42,0.3,0.53,0.35,0.89,-0.3,0.27,0.15,0.66,0.01,0.1,-0.46,0.58,-1.15,0.68,4.06,-0.62,0.37,EPS,-0.21,-0.2,0.37,0.54,-0.07,0.44
2397 友通,0.68,1.63,1.14,1.4,1.72,1.35,1.03,1.27,0.67,0.93,0.68,0.58,0.55,0.62,3.63,0.73,1.01,1.69,1.18,1.1,0.85,0.47,0.74,0.45,0.64,0.8,1.57,0.5,0.61,0.58,0.52,0.66,0.65,0.75,0.9,0.64,0.79,1.05,0.65,1.3,1.19,1.03,1.07,0.68,1.1,1.19,1.14,1.38,EPS,0.93,0.89,0.66,0.01,0.76,1.29
8234 新漢,0.33,0.31,0.54,0.34,0.5,0.31,0.46,0.12,0.24,0.28,0.42,-0.24,0.09,0.56,0.6,0.66,0.7,4.61,0.42,0.92,0.09,0.6,-0.34,-0.14,0.08,0.18,0.49,0.55,0.47,0.08,0.41,0.55,0.74,1.93,0.42,0.02,0.31,0.51,0.56,0.31,0.41,0.25,0.64,-0.31,0.62,0.35,0.13,0.22,EPS,0.57,-0.16,-0.08,0.07,-0.44,0.28
2395 研華,2.35,2.27,2.34,2.31,2.71,3.06,2.43,1.85,3.29,2.52,2.21,2.48,2.31,2.95,2.93,3.32,3.17,4.1,3.26,3.8,3.51,3.01,2.67,2.32,2.46,2.61,3.06,1.52,1.98,1.95,1.81,2.02,2.1,2.1,1.95,1.91,2.1,1.94,2.12,2.08,2.32,2.32,2.24,1.9,2.47,2.28,1.95,2.45,EPS,3.17,2.3,3.2,3.58,3.85,5.2
6166 凌華,0.36,0.22,0.53,0.51,0.52,0.45,0.57,0.4,0.13,0.26,0.33,0.01,0.31,-0.24,0.47,0.23,2.02,1.06,0.4,0.38,0.3,0.49,0.34,-0.35,-0.41,0.18,0.82,0.27,1,0.69,0.46,0.63,1.09,0.83,0.7,1.03,0.82,0.78,0.48,0.26,0.43,0.23,1.08,0.11,0.56,0.76,0.1,0.27,EPS,0.31,-0.08,1.29,0.83,1.57,1.55
3088 艾訊,0.54,1.39,1.46,1.46,2.14,1.27,0.89,0.82,1.34,0.74,0.82,1.43,0.55,1.58,1,1.48,0.89,2.13,2.15,1.35,2.4,2.24,1.53,1.45,1.63,2.2,2.25,0.88,0.93,0.99,0.68,1.35,1.21,1.27,0.92,1.13,0.97,1.9,1.38,1.35,0.97,1.15,1.09,0.35,9.66,1.16,1.05,1.23,EPS,1.24,-0.29,1.81,1.92,2.25,2.03
6579 研揚,1.38,2.95,0.68,2.16,0.56,0.74,1.72,-0.33,2.17,0.66,1.07,0.34,0.19,0.88,2.82,1.21,2.73,3.33,2.76,2.87,2.77,2.35,0.45,3.61,1.97,0.05,2.35,-,-,-,-,-,-,-,-,-,-,-,-,-,2.52,1.46,1.34,0.85,2.14,1.24,2.56,0.68,EPS,2.07,-0.17,1.54,2.18,3.81,2.34
公司平均數,0.596,1.308,0.917,1.157,1.098,0.943,0.876,0.498,1.038,0.71,0.643,0.567,0.534,0.811,1.551,1.091,1.813,2.487,1.765,1.444,1.419,1.466,0.594,1.149,1.091,0.924,1.59,0.657,0.901,0.774,0.727,0.919,1.079,1.159,0.99,0.84,0.836,1.104,0.997,0.977,1.219,0.914,1.101,0.384,2.221,1.532,0.828,1.063,EPS,1.179,0.101,1.261,1.109,1.548,1.778
電腦及週邊設備業,0.77,0.8,0.66,0.53,0.69,0.97,0.84,0.46,1.16,1.31,1.2,1.09,1.43,1.33,1.61,1.2,1.31,1.78,1.19,0.87,1.19,1.48,0.98,1.25,1.47,1.46,1.49,0.66,0.68,0.57,0.67,0.67,0.64,0.91,0.84,0.61,0.51,0.88,0.8,0.58,0.72,0.73,1,0.38,0.71,0.93,0.58,0.85,EPS,1.78,1.37,1.96,2.11,3.05,3.87
6680 鑫創電子,"130,000","149,600","149,600","149,600","157,080","175,000","175,000","175,000","185,500","185,500","185,500","185,500","185,500","185,500","185,500","185,500","191,020","191,020","191,020","191,020","212,454","210,806","211,230","211,085","232,302","232,302","233,724",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CommonStock,"237,942","238,442","238,712","239,072","239,542","239,542"
8050 廣積,"1,234,726","1,234,843","1,764,185","1,764,185","1,764,635","1,765,164","1,770,998","1,770,998","1,770,998","1,770,998","1,770,998","1,770,998","1,770,998","1,770,998","1,770,998","1,770,998","1,770,998","1,933,032","1,949,967","1,949,980","1,949,980","2,067,621","2,068,218","2,060,568","2,060,568","2,060,724","2,061,770","845,367","888,682","891,222","911,367","947,508","999,164","999,720","1,001,930","1,085,430","1,138,488","1,138,488","1,138,488","1,138,584","1,180,848","1,202,126","1,203,809","1,205,386","1,237,029","1,234,656","1,234,843","1,764,185",CommonStock,"2,051,780","2,051,780","2,051,780","2,052,049","2,052,049","2,052,049"
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"202,735",-,"212,956",-,"226,356","226,356","228,541","230,541","255,591","256,171","256,171","256,171","256,171",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CommonStock,"257,431","270,724","271,324","271,554","271,554","271,554"
3594 磐儀,"627,806","646,045","629,986","629,986","642,275","642,275","642,275","642,275","658,582","678,739","711,534","717,097","732,305","744,218","744,218","906,402","906,589","954,393","954,394","954,394","954,394","954,394","954,394","956,974","956,974","956,974","956,974","403,940","457,800","457,800","457,800","457,800","480,673","480,673","500,673","501,445","561,445","561,445","561,445","561,445","577,806","577,806","577,806","577,806","577,806","627,806","627,806","635,475",CommonStock,"958,414","959,484","959,484","959,484","959,484","959,484"
2397 友通,"1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,146,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,148,399","1,146,889","1,146,889","1,146,889",CommonStock,"1,144,889","1,144,889","1,144,889","1,144,889","1,144,889","1,144,889"
8234 新漢,"1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,112,533","1,280,079","1,280,329","1,283,259","1,287,169","1,375,194","1,380,455","1,390,745","1,406,213","1,398,762","1,406,139","1,402,625","1,403,285","1,404,505","1,407,715","1,408,465","1,409,195","1,410,085","1,412,265","1,412,265","1,412,265",CommonStock,"1,412,265","1,412,265","1,412,265","1,412,265","1,412,265","1,412,265"
2395 研華,"6,972,825","6,975,445","6,986,955","6,990,755","6,991,405","6,999,230","7,004,100","7,008,700","7,713,500","7,719,455","7,722,545","7,726,405","7,727,295","7,738,228","7,744,638","7,758,374","7,763,662","7,778,434","7,779,769","7,784,871","8,567,316","8,577,794","8,584,494","8,604,477","8,631,680","8,634,322","8,635,894","5,652,059","5,656,272","5,669,249","5,694,000","5,714,511","6,287,021","6,301,031","6,312,091","6,315,186","6,316,906","6,318,531","6,318,531","6,318,531","6,318,531","6,326,091","6,330,841","6,332,541","6,966,115","6,970,325","6,974,575","6,982,275",CommonStock,"8,641,671","8,643,744","8,651,897","8,658,303","8,682,545","8,690,460"
6166 凌華,"2,175,232","2,175,232","2,175,232","2,175,205","2,175,205","2,175,205","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","2,174,973","1,707,094","1,707,094","1,707,809","1,709,224","1,709,874","1,830,560","1,832,905","1,834,335","1,835,425","2,003,669","2,004,829","2,017,589","2,170,749","2,172,804","2,175,579","2,175,619","2,175,679","2,175,059","2,174,827","2,175,232","2,175,232",CommonStock,"2,174,973","2,174,973","2,175,953","2,177,243","2,177,713","2,177,793"
3088 艾訊,"794,509","794,180","797,245","796,836","797,124","807,160","864,911","825,112","841,356","829,105","849,850","855,267","861,140","966,153","959,923","904,653","907,281","907,184","923,314","919,605","1,016,028","1,014,234","1,018,744","1,020,205","1,021,225","1,025,437","1,031,454","773,430","773,430","775,419","776,540","781,169","780,930","780,930","783,603","793,129","788,070","792,684","790,310","790,310","790,310","790,310","790,310","790,310","790,310","795,247","794,634","798,776",CommonStock,"1,116,963","1,118,607","1,083,685","1,084,972","1,086,490","1,309,676"
6579 研揚,"1,068,000","1,068,000","1,484,985","1,484,985","1,484,985","1,484,985","1,484,985","1,484,985","1,484,985","1,484,985","1,484,985","1,484,985","1,484,985","1,484,985","1,486,185","1,486,555","1,487,375","1,490,825","1,492,255","1,495,665","1,601,788","1,602,418","1,604,078","1,608,908","1,689,872","1,693,692","1,694,512",-,-,-,-,-,-,-,-,-,-,-,"960,000",-,"960,000","960,000","960,000","960,000","960,000","1,068,000","1,068,000","1,484,985",CommonStock,"1,694,512","1,694,512","1,694,512","1,694,512","1,694,512","1,694,512"
公司平均數,"1,729,139.1","1,733,611","1,838,593.5","1,838,967.4","1,841,318.1","1,845,352.5","1,852,932.9","1,849,021.9","1,932,116.5","1,933,656.5","1,939,948.9","1,941,597.8","1,944,038.9","1,958,245.4","1,782,632.4","1,971,623.1","1,797,200.8","1,998,557.4","1,824,920.2","1,825,401.8","1,926,262.8","1,938,993.4","1,942,887.6","1,945,051.6","1,958,092","1,959,174.8","1,960,262.6","1,663,260.2","1,701,679.4","1,704,318.1","1,711,512.8","1,720,918.6","1,843,134.4","1,846,301.9","1,853,110.9","1,869,318.1","1,907,962.8","1,910,073.6","1,792,173.4","1,933,043.2","1,819,150.4","1,823,503.2","1,824,406.1","1,824,914.5","1,908,100.4","1,928,751.9","1,929,280.5","2,050,010.2",CommonStock,"1,969,084","1,970,942","1,968,450","1,969,434.4","1,972,104.2","1,995,222.4"
電腦及週邊設備業,"3,934,939.5","3,976,431.18","3,941,105.81","3,977,800.3","3,958,110.85","3,977,856.43","3,942,942.05","3,979,206.93","3,968,080.09","3,996,901.44","3,861,810.47","4,008,843.95","3,938,987.96","3,960,697.1","3,792,956.39","3,967,107.17","3,839,767.5","3,975,763.77","3,817,951.65","3,925,481.5","3,841,174.2","3,877,148.71","3,817,855.5","3,879,949.06","3,826,512.65","3,885,607.79","3,824,647.73","4,361,445.65","4,130,342.26","4,346,628.69","4,141,427.8","4,307,601.59","4,145,348.15","4,315,217.41","4,130,076.75","4,380,259.97","4,158,497.69","4,404,590.57","4,035,231.39","4,393,125.74","4,078,342.84","4,258,726.59","4,002,249.64","4,228,007.14","4,060,789.89","4,114,736.03","4,084,539.64","4,065,088.66",CommonStock,"3,857,802.04","3,863,729.41","3,840,258.82","3,843,144.21","3,832,447.31","3,885,718.45"
6680 鑫創電子,"203,884","238,389","259,777","275,677","251,574","386,057","391,175","360,144","365,937","376,158","378,342","347,736","354,587","363,397","376,613","363,628","379,930","407,269","427,037","396,546","420,909","455,828","466,082","447,106","480,242","534,552","591,411",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity,"548,374","520,567","524,967","544,295","548,238","548,242"
8050 廣積,"2,910,891","2,656,652","5,109,048","5,203,293","4,918,432","4,918,281","4,986,919","4,486,760","4,708,200","4,967,005","5,053,428","4,807,102","4,707,390","4,698,551","4,835,604","4,709,995","4,934,223","6,091,675","6,646,404","7,038,528","6,560,561","7,623,839","7,608,827","8,035,923","7,450,428","7,465,224","7,662,975","2,013,556","1,905,555","2,001,795","2,152,628","2,396,904","2,049,587","2,039,767","2,167,470","2,648,725","2,470,849","2,456,623","2,564,574","2,712,284","2,521,168","2,750,972","2,941,819","3,015,409","2,553,868","2,868,180","2,926,683","5,086,858",Equity,"7,206,275","6,919,419","7,304,824","7,214,505","6,907,188","7,487,693"
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"406,985",-,"423,497",-,"634,328","536,100","559,618","613,589","854,376","825,890","878,315","919,059","967,023",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity,"918,757","912,663","1,003,026","1,047,197","995,860","1,082,411"
3594 磐儀,"1,325,820","1,301,653","1,303,070","1,327,084","1,340,093","1,335,103","1,322,110","1,313,358","1,311,911","1,391,296","1,475,251","1,477,260","1,531,083","1,522,230","1,537,781","1,869,782","1,876,448","2,049,738","2,085,532","2,138,304","2,109,578","2,159,445","2,139,313","2,125,914","2,171,355","2,193,976","2,273,066","602,930","699,043","708,857","732,418","746,397","745,867","768,313","938,321","922,819","1,090,549","1,099,241","1,120,679","1,114,337","1,101,329","1,065,795","1,086,555","1,004,877","1,026,078","1,391,827","1,284,543","1,301,843",Equity,"2,205,784","2,067,479","2,143,311","2,244,590","2,224,695","2,281,762"
2397 友通,"3,097,804","2,947,481","3,216,789","3,389,639","2,997,818","3,150,178","3,195,330","3,335,650","2,822,740","2,917,640","2,975,103","3,011,000","2,711,082","2,641,477","3,057,279","2,764,830","2,876,938","3,128,359","3,247,431","2,936,513","3,037,637","3,104,489","3,162,036","2,889,185","2,963,282","3,173,303","3,511,742","2,832,596","2,726,924","2,791,353","2,842,420","2,925,982","2,788,161","2,859,144","2,903,565","3,027,816","2,815,380","2,964,977","3,025,901","3,188,485","3,014,680","3,120,515","3,210,930","3,270,485","2,884,503","3,021,387","3,234,918","3,095,700",Equity,"3,265,566","3,255,021","3,373,857","3,402,911","3,228,548","3,371,970"
8234 新漢,"2,358,697","2,347,260","2,448,014","2,506,529","2,486,571","2,533,119","2,582,245","2,593,487","2,515,139","2,554,401","2,616,965","2,572,365","2,577,044","2,537,372","2,630,637","2,739,385","2,700,026","3,367,144","3,441,164","3,557,381","3,167,004","3,303,279","3,204,382","3,217,055","3,071,057","3,077,162","3,171,287","1,870,624","1,869,166","1,881,326","1,941,058","2,021,680","2,061,330","2,337,966","2,422,678","2,439,132","2,201,025","2,291,794","2,373,292","2,416,616","2,305,467","2,342,583","2,431,780","2,380,887","2,260,297","2,315,386","2,411,330","2,369,093",Equity,"3,266,074","3,088,275","3,083,175","3,091,967","3,042,560","3,025,533"
2395 研華,"27,581,074","26,284,945","29,302,703","31,274,496","28,540,052","30,488,451","32,235,638","28,157,620","30,379,151","32,423,607","34,410,156","31,375,149","33,034,416","35,231,461","37,852,527","35,232,689","37,312,794","41,166,017","43,814,702","39,260,301","42,705,942","46,147,397","48,461,152","42,882,337","45,867,933","48,501,296","51,428,352","18,917,065","16,877,863","17,843,377","19,258,299","20,828,080","19,168,411","20,420,162","22,351,064","23,275,076","20,785,320","22,163,176","23,307,501","24,782,087","22,299,739","23,790,897","25,213,582","26,249,001","24,355,942","25,990,556","29,234,333","27,874,307",Equity,"47,301,687","47,749,740","51,351,792","54,947,481","49,613,432","55,335,278"
6166 凌華,"4,616,183","4,396,002","4,558,002","4,693,247","4,518,593","4,593,818","4,676,253","4,762,187","4,410,668","4,463,229","4,516,046","4,519,893","4,558,257","4,298,160","4,420,441","4,532,263","4,931,435","5,226,842","5,578,649","5,110,069","5,160,096","5,388,930","5,394,136","5,191,471","5,126,150","5,122,049","5,377,177","2,977,220","2,998,106","3,107,552","3,196,057","3,336,573","3,247,503","3,414,334","3,611,274","3,751,789","3,561,592","3,806,060","3,898,477","4,900,882","4,446,218","4,436,528","4,677,193","4,597,696","4,368,115","4,551,732","4,646,793","4,431,150",Equity,"5,248,628","4,954,729","5,322,713","5,604,728","5,784,238","6,168,498"
3088 艾訊,"2,370,197","2,139,524","2,362,989","2,481,759","2,362,913","2,464,699","2,597,399","2,684,833","2,475,417","2,542,198","2,633,778","2,562,737","2,604,138","2,868,400","3,078,273","2,971,333","3,072,905","3,321,119","3,553,852","3,476,351","3,722,353","4,078,616","4,203,534","3,971,098","4,153,464","4,380,446","4,644,311","1,306,304","1,231,126","1,306,626","1,365,057","1,488,892","1,365,438","1,467,789","1,561,527","1,644,263","1,403,130","1,593,151","1,693,067","1,796,696","1,536,012","1,615,596","1,744,866","1,744,744","2,231,576","2,332,626","2,452,711","2,245,131",Equity,"4,784,835","4,633,543","4,896,208","5,171,009","5,130,789","5,550,699"
6579 研揚,"4,188,623","4,275,824","7,889,985","8,112,645","7,566,250","7,630,845","7,800,514","7,741,738","7,548,804","7,699,435","7,841,121","7,886,222","7,455,027","7,546,463","7,868,758","8,044,817","7,877,117","8,286,940","8,642,423","9,015,201","9,574,891","9,966,675","10,010,600","10,546,755","9,768,745","9,775,514","10,099,389",-,-,-,-,-,-,-,-,-,-,-,"2,510,308",-,"2,483,225","2,605,737","3,020,278","3,071,925","2,824,659","4,046,047","4,462,398","7,838,898",Equity,"10,379,607","9,375,284","9,670,184","9,955,187","10,445,657","10,180,080"
公司平均數,"5,405,908","5,176,414.5","6,272,263.5","6,584,930","6,109,144","6,388,950","6,643,065","6,159,530.5","6,281,996.5","6,592,774.5","6,877,798","6,506,607","6,614,780","6,856,390","6,606,489.5","7,025,413.5","6,638,531","8,116,122.5","7,807,153","7,346,529.5","7,701,859","8,284,208","8,550,444","8,013,273","8,193,097","8,514,258","8,972,674","4,360,042","4,043,969.2","4,234,412.5","4,498,276.5","4,820,644","4,489,471","4,758,211","5,136,557","5,387,088.5","4,903,978.5","5,196,432","5,061,725","5,844,483.5","4,963,479.5","5,216,077.5","5,540,875","5,666,877.5","5,313,130","5,814,718","6,331,714","6,780,373",Equity,"8,512,559","8,347,672","8,867,406","9,322,386","8,792,121","9,503,217"
電腦及週邊設備業,"12,332,645.55","12,203,512.16","12,609,952.03","13,206,614.31","12,447,069.51","12,847,197.15","13,027,284.1","12,721,782.8","12,556,965.98","13,295,903.15","13,260,117.71","13,915,641.99","13,449,835.63","14,004,841.08","14,280,608.5","15,062,664.21","14,064,769.27","15,672,029.08","15,205,326.03","15,178,410.2","15,101,509.19","16,226,655.01","16,120,456.3","16,511,263.54","16,728,713.23","17,937,808.47","18,534,735.93","12,101,964.84","11,044,256.18","11,733,133.67","11,458,923.95","12,755,802.09","11,613,225.64","12,664,716.76","12,916,436.43","13,970,872.18","12,342,235.26","13,745,976.44","12,774,215.06","14,139,477.62","12,324,711.65","13,201,664.2","12,691,824.35","13,331,723.29","12,120,462.78","12,658,576.94","13,103,633.54","12,814,813.37",Equity,"18,432,934.41","17,008,544.08","18,422,973.24","19,820,659.82","19,856,108.81","21,182,123.97"
6680 鑫創電子,15.93,17.53,17.36,18.43,16.82,22.06,22.35,20.59,21.09,20.44,20.56,18.9,19.27,19.75,20.47,19.76,20.65,21.49,22.53,20.92,22.16,21.76,22.24,21.32,22.72,23.01,25.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NAV,23.05,21.83,21.99,22.77,22.89,22.89
8050 廣積,24.61,22.56,29.3,30.04,28.39,28.38,28.68,26.11,27.39,28.9,29.4,27.97,27.87,28.02,29.15,28.19,29.54,33.24,35.94,38.06,35.37,38.65,38.57,40.57,37.62,37.69,38.67,25.17,23.22,23.15,24.32,26.02,22.38,21.51,22.8,25.61,23.53,22.94,24.12,25.51,23.67,24.41,25.88,26.49,22.66,24.25,24.74,29.45,NAV,36.18,34.74,36.67,36.22,34.67,37.03
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.07,-,20.88,-,28.02,23.68,24.49,26.62,33.43,32.24,34.29,35.88,37.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NAV,35.69,35.39,36.97,38.56,36.67,39.86
3594 磐儀,21.81,21.41,21.21,21.6,21.81,21.3,21.09,20.95,21,21.45,21.14,21,21.1,20.91,21.06,20.99,21.06,21.83,22.21,22.62,22.32,22.85,22.64,22.37,22.91,23.15,23.89,14.94,15.28,15.5,16.01,16.32,16.3,16,18.75,18.44,19.73,20.04,20.55,20.43,20.19,18.97,19.34,17.89,18.39,22.89,21.13,20.96,NAV,23.15,21.68,22.47,23.53,23.32,23.92
2397 友通,27.01,25.7,28.1,29.61,26.18,27.52,27.91,29.14,24.66,25.48,25.99,26.3,23.68,23.07,26.7,24.15,25.13,27.32,28.36,25.65,26.53,27.12,27.62,25.24,25.88,27.72,30.67,24.67,23.75,24.31,24.75,25.48,24.28,24.95,25.68,26.4,24.55,25.85,26.38,27.8,26.29,27.21,28,28.52,25.15,26.34,28.21,26.99,NAV,28.52,28.43,29.47,29.72,28.2,29.45
8234 新漢,16.7,16.62,17.33,17.75,17.61,17.94,18.28,18.36,17.81,18.09,18.53,18.21,18.25,17.97,18.63,19.4,19.12,23.84,24.37,25.19,22.42,23.39,22.69,22.78,21.75,21.79,22.46,16.81,16.79,14.69,15.13,15.71,15.88,16.94,17.42,17.44,15.74,16.34,16.92,17.22,16.41,16.64,17.27,16.9,16.03,16.39,17.07,16.78,NAV,23.13,21.87,21.83,21.89,21.54,21.42
2395 研華,39.56,37.68,41.94,44.74,40.82,43.56,46.02,40.18,43.32,42,44.56,40.61,42.75,45.53,48.88,45.41,48.06,52.92,56.32,50.43,54.83,53.8,56.45,49.84,53.14,56.17,59.55,33.47,29.84,31.47,33.97,36.58,33.54,32.48,35.47,36.86,32.91,35.08,36.89,39.22,35.29,37.61,39.83,41.45,38.46,37.31,41.92,39.92,NAV,54.74,55.24,59.35,63.46,57.14,63.67
6166 凌華,21.22,20.21,20.95,21.58,20.77,21.12,21.5,21.9,20.28,20.52,20.76,20.78,20.96,19.76,20.32,20.84,22.67,24.03,25.65,23.49,23.72,24.78,24.8,23.87,23.57,23.55,24.72,17.44,17.56,18.2,18.7,19.51,18.98,18.63,19.69,20.44,19.38,18.98,19.32,22.58,20.46,20.39,21.5,21.13,20.08,20.93,21.36,20.37,NAV,24.13,22.78,24.46,25.74,26.56,28.32
3088 艾訊,29.86,26.94,29.66,31.15,29.65,30.83,31.81,32.73,30.05,30.78,31.68,30.54,30.98,32.92,34.15,32.92,34.02,36.71,38.92,37.8,40.43,40.21,41.37,38.92,40.7,42.81,45.28,16.89,15.92,16.87,17.58,19.07,17.48,18.8,19.93,20.87,17.8,20.16,21.42,22.73,19.44,20.44,22.08,22.08,28.24,29.44,30.88,28.21,NAV,44.48,43.06,45.43,47.8,47.22,50
6579 研揚,39.22,40.04,53.13,54.63,50.95,51.39,52.53,52.13,50.83,51.85,52.8,53.11,50.2,50.82,52.95,54.12,52.96,55.59,57.92,60.28,59.78,62.2,62.41,65.55,60.69,57.72,59.6,-,-,-,-,-,-,-,-,-,-,-,26.15,-,25.87,27.14,31.46,32,29.42,37.88,41.78,52.79,NAV,61.25,55.33,57.07,58.75,61.64,60.08
公司平均數,26.213,25.41,28.776,29.948,28.111,29.344,30.019,29.121,28.492,28.834,29.491,28.602,28.34,28.75,29.238,29.531,29.409,32.997,34.024,32.812,33.205,34.138,35.222,34.27,34.327,34.949,36.789,21.341,20.337,20.599,21.494,22.67,21.263,21.33,22.82,23.723,21.949,22.77,23.969,25.07,23.453,24.101,25.67,25.808,24.804,26.929,28.386,29.434,NAV,35.432,34.035,35.571,36.844,35.985,37.664
電腦及週邊設備業,27.68,27.67,28.71,30.13,28.41,29.23,29.71,29.48,28.82,30.39,30.95,32.21,31.56,32.4,33.79,35.18,33.58,36.41,36.64,36.71,36.15,38.25,38.4,39.54,39.59,42.56,44,23.46,22.05,22.85,23.43,25.41,23.61,25.01,25.97,27.04,24.64,26.28,26.17,27.44,25.24,26.35,26.95,27.18,25.52,27.15,28.84,28.66,NAV,44.9,41.3,44.52,47.88,49.84,52.3
6680 鑫創電子,-,"45,275","17,488","11,910","11,150","16,782",-19892,"31,823","11,288","9,518","1,059","6,987",-16290,-17719,"16,298",-37855,"1,027","46,263","27,149",-2892,"66,536","53,440","41,962",-4885,"47,491","43,667",-1138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OperatingCashflow,"26,118",-51303,"18,460","14,681",-57465,-42390
