公司,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,Category
8050 廣積,-38498,-84111,-55950,-65608,"91,436",-58452,-73178,"121,968",-31900,"114,628",-233367,-67070,-27694,-110169,-166930,"179,322","49,746","131,097","86,565",-271507,"240,384","70,490","24,441",-225348,-33883,-39199,"152,342","163,968","673,653","443,251",-103001,"858,469","323,894","8,937",-85881,-397408,-445104,"72,184","217,851","406,913","257,211","301,256",-83297,-343615,-955047,-315716,"216,126","97,241",FinancingCashflow
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-8592,-,"33,995",-4645,-2344,-127146,"216,612",-4363,"509,733",-101654,-10401,FinancingCashflow
3594 磐儀,"21,987",-12103,"46,832","45,333","88,299","10,498","38,430","108,103","138,301","183,719","61,293","42,100","107,742","86,681","134,666",-7414,"69,240",-4398,"402,246",-69495,"1,581",-160244,-14351,-53188,"6,939","37,253",-11031,"7,196","47,387","521,783",-26002,-74716,"4,047","31,365","75,898","45,348",-3799,-5121,"128,312","43,370","76,190",-43886,-137870,"19,709",-132078,-231763,"39,683",-26018,FinancingCashflow
2397 友通,-,-,-172260,0,-,-,-216125,-53188,"57,252",-173,-295897,0,0,0,-326863,0,-,-,-516100,0,-,-,-481693,-12909,-144940,-235666,-604440,"10,465","83,038",-272973,-272774,-171566,"29,058","564,529","269,098","383,445","196,018","65,593",-394187,-200232,-703275,-289811,-471344,-686720,-138154,-1954,"1,333,818","6,816",FinancingCashflow
8234 新漢,-86933,"990,339",-32349,-43530,-82264,"9,855",-106315,"92,745",-9109,"27,321",-204369,-55691,"53,373",-65299,"53,239","233,898","58,315",-16959,-69094,-11726,"81,984",-92763,"251,333","158,929","221,480",-87176,-206685,"106,901",-177591,-161413,"169,977",-525418,"28,276","104,453","114,568","274,211","290,529",-130127,-161266,-199045,-404030,-205052,-205525,-524645,-347865,-42336,-37926,-34269,FinancingCashflow
2395 研華,"43,575",-148847,-2805144,"21,303","33,805","9,468",-2776485,-176353,"74,133",-4605,-3863828,"796,289",-411848,"1,502",-3686704,"59,171","25,443",-105956,-4080840,-227850,"17,853",-26608,-4425597,"82,460","125,886",-169133,-4627092,-57425,"2,592",-54684,-5507682,-154783,-165899,-73943,-5441256,"117,488","261,174","9,385",-5866835,-52349,"170,899",-170545,-7931685,-132766,"169,391","365,774",-8131857,-195495,FinancingCashflow
6166 凌華,"168,014",-137923,-177893,-172505,"23,707",-96790,"44,740",-37326,"47,959","120,972",-163014,"462,121","148,245",-121872,-274202,-76347,"24,148",-165890,-359248,-79189,"49,965","34,010",-253298,"155,938","68,270","9,765",-305705,-177885,-112198,"294,805",-132937,"186,965","2,186,315",-64187,"815,289","914,247","20,972",-188287,-151140,-226242,"65,605",-352871,-135837,-83459,-184277,-55627,-314265,-326550,FinancingCashflow
3088 艾訊,-13552,-8007,-63951,-80304,"7,505",-992,-183519,"51,142","2,525",-11017,-210715,-75465,-12005,-1934,-223401,"320,377","12,131","69,674",-266709,"7,921",-462,-1599,-247778,-150821,-9767,-62039,-247064,"33,102",-111927,-6130,-8201,-336107,-4516,"14,292",-43727,"183,978","20,174","32,577",-11155,-104962,"82,725","64,347",-160703,-4297,"3,779",-70106,-62822,-386183,FinancingCashflow
6579 研揚,-,-,-,-,-,-,-,-,-,-,-,-,-,869,-288869,"548,242",-718,-65550,"628,960",-3563,"17,648",-964,-563822,-14283,-47342,-14826,-689250,-17889,-12228,"9,213",-553505,-33734,-28575,"226,494",-498459,-18658,"130,056",-86881,-512756,-6180,"7,895",-10386,-912544,-8009,"11,642",-13412,-1153551,-146585,FinancingCashflow
公司平均數,"15,765.5","99,891.336",-3260715,-295311,"27,081.334",-126413,-3272452,"15,298.714","39,880.145","61,549.285",-4909897,"157,469.14",-142187,-210222,-4779064,"157,156.12","34,043.57",-157982,-4174220,-655409,"58,421.855",-152961,-5710765,-46638,"20,591.445",-562347,-6477507,"8,611.111","42,360.11","87,096",-6479030,-241548,"262,437.56","91,056.22",-4832706,"170,689.89","54,841.332",-237715,-6797711,-289508,-486535,-711362,-10147773,-1597583,-1562741,"13,541.9",-7777520,-1115929,FinancingCashflow
